instrument_idx,threshold,f_measure
1.0,0.01,0.23755902651652744
6.0,0.01,0.01486988847583643
7.0,0.02,0.04
2.0,0.04,0.0606060606060606
3.0,0.05,0.30056980056980054
4.0,0.06999999999999999,0.030178326474622773
5.0,0.09,0.24294761082325853
